input,output
we'll be able to have the resources and that interest,これらの問題に取り組むための資源や関心を
it's enough with todai.,さっきから 東大東大うるせえんだよ!
"look, i told you everything i know. i told you.",知っていることは すべて話した
are becoming more and more communicative.,どんどん話をするようになっている事です
burnett. ln the radio room.,バーネットとは無線で繋がってるが
"what the hell's happening here, dammit!",お前 これ 一体どういうことだ? この野郎!
excuse me?,今なんて?
into supercomputing collectives,インターネットを通じて
central city is safe. i guarantee you.,セントラルシティは安全です
just who the hell are you?!,貴様は何者だ!
it is time to fight!,次回 レトリビューション
there is something fun. what?,あるよ 面白いこと
i'll walk you through the rest.,あとは指示する
"excuse me. hey! hey, what are you filming for?",ねえ 何撮ってるの?
this is a wmd site. this is a highpriority site.,ここはWMD格納庫だぞ
"geena, one quick question for you.",キャスリン・シュルツ: ジーナ 1つだけ質問させて下さい
"kids happened later, even death happened later.",死ぬことだって先になってる
be thorough.,全部話してくれ
i'll have it to you in an hour.,1時間で終わらせる
"you went to the shrine because there are no stairs in the house, right?",うちに階段ないから 神社行ってたんだっけ
"this is... this is a violation of our promise, huh?",もう... もう こんなの 約束違反だよな。
"i'll listen to any alternatives, soldier, but until i hear a good one you burn them.",焼却しろ チームaから感染2例が報告
what's my window?,窓は?
lonnie.,ロニーだ
"tonight, it would seem new york city owes him a debt of gratitude.",ニューヨークは 彼に恩義を感じているようですね
no no no no.,ダメだ... ダメだ
weren't people from his company supposed to come over?,今日 会社の人が 挨拶に 来てたんじゃなかった?
"of you hiding, notnot the special forces guys. i miss you.",君が守ってたら 特殊部隊じゃなくなるな 会いたいわ
let's see...,说起来啊 你老是这样
"51, murray, 49 perez, 10% reporting.","""51 マレー 49 ペレス 10%の公表」"
was that so?,惜しかったなぁ。➡
"should've shagged you then, but instead",あなたが疲れ果てていた時
"want revenge, sebastian?",リベンジするか セバスチャン
"social, ecological and economic benefits.",社会的、生態的、経済的な利益をもたらします
like heaven or...,天国の...
you really think we can find the woman who called me?,電話をくれた女性を ほんとに見つけられるかな?
i am cisco ramon and she caitlin is dr. snow .,僕はラモーン 彼女はケイトリン... スノー博士
"so, that was the end of that party...",それでパーティーは お開きになった
"ah, that is...",強く生きるための訓練だからさ。
"still, never answered.",返事がない
sonya seems to be taking her sweet time.,ソーニャは やる気ない様ね
"this is an antique shop, not a museum.",骨董品屋だぞ
"you played a lot with him, didn't you?",よく遊んでもらったでしょ
i always get in trouble for this kind of stuff.,いつもこんな調子で トラブルに巻き込まれるんだ
he crossed a continent to serve me.,私に仕えるため大陸を渡った
you are headstrong and inquiring.,キミは頑固で 好奇心旺盛
that spans across the equator,赤道を越えて広がり
i will not let that happen.,俺が守る
by creating a visual persistence.,記憶が増強されること
"frank, that was beautiful",フランク 素晴らしくて
snow black,我叫有田春雪
you wonder what people see up toward that blue sky.,空の青さの向こうに
norman! (laughter),ノーマン! (笑)
then why plan ahead to beat the polygraph?,ポリグラフを誤魔化す準備をなぜ 前もってしたんでしょう?
with a relatively weak laptop.,性能の劣るラップトップが組んだ ペアに敗れました
it's all right.,ちゃんとあるようだな
we've shifted our focus in one sentence from john to mary,焦点がジョンからメアリーになった
"it's okay, everyone. he'll be fine.",大丈夫 ご安心を
wipe it for me.,飛んだだろ 拭いてくれよ
"i don't want to believe it because her being in there, trapped",彼女がまだ存在してるなんて...
i have a simpler one. you're all not worthy.,面白い推測だが もっと単純だ
"then maybe it's a good thing... confronting your past, even for your kids.",過去に向き合うのは 子供のためにもなる
the accused has the opportunity to confess.,被告人は白状する機会だ
"mmm, what can i say? i have faith.",まぁね・・・ 私には確信があるから
trent russell kidnapped hanna frey?,トレント・ラッセルがハンナを連れ去った?
uh... it'sit's in my jacket.,えぇっと それならジャケットに...
this thing has been distributed across the malarious world,マラリアのある全地域で 配布されてきました
and he left in disgust.,彼はうんざりし 瞑想の場を去りました
"i was wrong about you, harrison.",君を誤解してたよ ハリソン
never heard of that before.,聞いたこともないが
"the accused, taizo hasegawa",被告人 長谷川泰三を 有罪とする。
jonesey!,ジョナシー
was being carved?,知っていたんやないですか?
"and all the while, the people were forgotten.",そして、すべてのしばらくは、人々が忘れられた。
back to my mother's place.,ご苦労さまでした。 失礼します。
but there isn't anyone else;,でも「他の誰か」はいないのです
"thank you so much, god!",か 神様 ありがとうございます
do you want to see the rest?,残りも見たいか?
"coffee, madam?",コーヒーをお持ちしました
but i think i can begin to understand now.,今は 少し理解できる気がするの
i don't know if it's still any good.,保障はないけど
"son goku, huh?",〈驚くべき悟空の強さ。➡
"a conversation is not a deal, colonel.",会話は取引ではないわ、大佐
"i told her go home, get some rest. well, is everything okay?",メールには重要とあったけど
"we're waing for your friends to get here, kate...",我々は君らの友達を待ってるんだよ ケイト
but we're not gonna beat a 50 caliber machine gun.,50口径の機関銃には適わない
why am i here?,《どうして 僕は ここにいる...》
so we're trapped in here. there's barely any food or ammo.,だからここに閉じ込められてる 食料と弾丸はなんとかあるけど
is there anywhere you want to go?,長谷くんは どこか遊びに行きたいところある
throughout the ocean,情報を収集し
what?,美神さん なんで?
the first thing i'm going to do when i get back is to get some decent food.,帰ったら まともな 食事をしたいね
this is more than just malice,これは悪意以上のものよ
the worst have thankfully not yet happened.,最悪のケースは 有り難い事に まだ起きてはいませんし
compared to morning glories and the like...,ビワは駄目なの? んー 木って アサガオとかより
is it fine for you if this settlement doesn't work out?,ホッホッホ
"i summon the tuner monster, dark resonator, in defense mode!",チューナーモンスター ダーク・リゾネーターを 守備表示で召喚!
"he'll cause me trouble and grief a hundred ways, but he don't lie to me.",主人は いろんなことで 私に面倒をかけて 私を泣かせてきたわ でも嘘は つかない
don't worry.,佐々木家に遠慮はいりません
i'm holding the door.,このままでいますから。
"she's an idiot, but she's useful.",だがアホは利用できる
and looking disapprovingly at another group of cavemen,ほかの穴居人が石の輪を転がして
so how's it hanging?,そんで 調子はどうだ?
"yes, sir.",そうです 司令官
we could let the trash take out the trash.,俺達は 高みの見物も出来るぞ
let's speak somewhere the dead can't hear us.,死者が聞こえぬ場所へ行こう
could've triggered a massive sympathetic discharge...,交感神経放電が起きたかも
"let elaine, smile.",何よエレーン 笑ってよ!
yeah.,うん 重い
yuki won't come out.,ユキ 出てこない。 そのうち 出てくるわよ。
you'll love it there. look.,ほら 行きたいだろ?
from the office that i worked at.,金ばさみを使っていました
we're counting on you!,頼みましたよ!
"and then when i come back, we can talk. talk?",ー 戻ってきたら またおしゃべりしましょ? ー おしゃべり?
you forgot i sent you home in a cab.,俺がタクシーで家に送ったことを 君は忘れた
"you know, how why would a kid want a dinosaur?",なぜか子供たちは恐竜が好きですよね
she's not a mom for nothing.,さすがです。
i don't know anything.,何も知りません。
take them!,行け 連れ出せ!
could you patent an environment?,環境を特許にできるでしょうか?
which was confirmed less than a week later,1週間も経たないうちに 証明されました
another mystery?,他にも謎が?
and maybe she will be more successful than you are and prettier and richer and skinnier and they end up doing everything together.,ずっと 美人でリッチで細い親友が 結局何もかも 二人でしてるかも
"jesse, you gotta believe me. i didn't want any of this!",私には何の得も無い事だ
i'm sorry.,そうだった ご免よ
"i, uh, hope i didn't overstep.",出過ぎた望みではないと
i need his location.,どこにいるんだ
are happening on these twoway radios where they forget,暗号化するのを忘れたり 暗号化しなかったのに気づかなかったことが
every cop in the state's out looking for us.,州全部のサツに 追われてるんだ - リスクは承知だ
am i able to take ryota's place?,流川にパスしようとしてる
"if you are boiled down, just take a break and switch back to head",煮つまってるなら 一度休んで頭切り替えましょ
so treat every day as if you're gonna get hit.,だから 用心して扱うんだ
"the bus, i can forgive. my hat?",バスの件は忘れるが 帽子は ...
"mr. keller, i like what i see here.",気に入りました
this guy?,彼だ
the rest of what i found is in there.,私が分かったことは ここに書いてある
the twin tails... of heresy,异端的双马尾
who are very different from ourselves.,人を見つけること
"apparently, he's holding together.",一緒にいることは 明らかだ
amen.,「アーメン」
"sorry, everyone.",あッ 神凪さん... みんな ごめんね
"oh, and he really loves bondage!",おおお...めそめそ?
"this is private epstein, from new jersey.",こいつはニュージャージーから来た エプスタイン上等兵だ
i gotta get to work. yeah.,仕事に行くよ
espada in their released forms can shoot out special type of cero.,解放したエスパーダは 特殊なセロを放つことができるんや。
i'll do that.,そうします。
not intensively.,「集約的な養殖じゃない」
do you know that?,そうだ 知ってるか?
it's because he wants you to think that.,そう彼が思わせているだけ。
we still need to discuss some things,もう少し話し合わなきゃ いけない事があるんだけど➡
looks like someone is worried about impending daddyhood.,子持ちになる日が差し迫って 不安なんでしょ
"mousie, mousie, run! run!",マウジー マウジー 逃げて
your car.,Your car.
what was inside of my heart?,身内で悪いが 封印するぞ。
practically everyone is.,みんなそうさ。
"ooh, sorry. i always forget you and flash used to be an item.",ごめんね いつも忘れちゃうのよ フラッシュがあなたの元カレだったって
i can never get rid of the guilt for what i did.,どうしても罪の意識から 逃れられなくて
"in order, not to detect random texts",意味のある文章の中から
it's short for boys' love.,ボーイズ ラブの略称です はッ はい
i just wish i knew what was wrong.,私はどうすれば 何がいけないのかしら
farrell is still alive.,ファレルはまだ生きてます。
"the victim banged her own head into the ground, and fists and heels.",拳とかかとも
gives way to darker and darker blue.,どんどん深く濃くなり
no one told me.,そんな話は
"just smell the grass, the dirt. just like i dreamed they'd be.",この草や土の匂い 私が夢見ていたとおりよ
"over the past five years, there have been times",この五年間に、私は幾度も
i wanted to keep her in the country.,彼女には国に居て欲しかった
i didn't have a phone number to call to say i was coming.,連絡を取りようにも 電話番号を知らなかったし
i can not do anything all by one.,わたし1人じゃ何もできません。
a procurer.,ポン引きだ
"however, the room has a capacity of two.",だけど 部屋の定員は2人までだ。
and you know things now,あなたを引っ張ります
get some rest?,休まないと
but if one simple word can change your whole world,一つの言葉で 君の世界を変えられたら
you want to find madison?,マディソンを見つけたいでしょ?
"even if they're trash, once they're born",どんなクズだって 生まれて来たからには
"i'd walked down to say hi to you about an hour ago, and you weren't there.",1時間程前に 伝える為 下に降りたのよ いなかったじゃない
when he's asked a difficult question to answer?,よく 目が左右に小刻みに動くのを 見たことがありませんか?
i can't remember seeing the crime scene before i saw myself killing her.,現場に着いた事を 覚えてない
"we, as the bank, can do bigger business.",ウチとしても より大きな取引ができる
is the brutality that so many people,世界中で多くの人々が
what is that?,あれがクロオビってやつか
"listen! from now on, i'm going to give it my all.",いい? これからは 姉ちゃん 今まで以上に頑張るからね
the surgeon was on call and scrubbed in.,外科医は待機して洗浄を済ませ入室しました
and the amazon river and floodplain,アマゾン川と氾濫原が
"yeah, from the freelancers?",フリーランサーさ
they own half a billion people.,5億の人々を取り込んでいます
i'll do it,自分で言ったらどうだ
doesn't need any help!,手助けは必要ない。
"where are you, charlie?",どこにいる チャーリー?
"who was in cambridge, that his father was now working on dna.",彼の父親がDNAの研究をしているという噂をはじめました
really working on some of these challenges in lowincome countries,低所得国の困難をなんとかしようとしている人が
"no, that looked good, it was about two thirds of you.",冗談です 全体の3分の2ぐらいでしたね
keep his mouth shut.,黙らせないとな
"please, jo. don't go in there!",そこに入らないでくれ
"a moment, sir?",少しいいですか、サー?
this is a world that has ended.,ここは終わってしまった世界
the kids who are going to fight,子どもたちは 明日のため モンスタースープと
and at some point all of us need to go out into the world,私達は誰しも ある時に 新しい発見と探検の為に
i saw him brody.,「ブロディが居るのを見た」
i guess i should thank you.,お下げいたします ありがとう
the door's jammed.,引っ掛かった
that hair.,その髪よ
and he comes close to convulsing himself,彼自身凧を通じて感電し すんでのところでけいれんを起こしそうになりました
i can do the same for you.,君のために同じことが出来る
read a little hamlet today.,今日は ハムレットを 少し読む
your man died. i heard.,君の部下は死んだらしいな
i don't want to say phil ruined christmas,フィルがクリスマスを
i don't have hours.,時間がないんだ
i only heard the man's name mentioned in passing.,名前を聞いただけなので
they thought i was going to talk before i died?,残念だったな
was not only the essential nature of golf,ゴルフの本質についてだけではなく
there im coming; she sees me.,ほら こちらを見ています
do you really want to interrupt the captain for that?,こんなことで船長の邪魔をしたいのか?
"it's takachin, sister.",タカチンです 姉上。
what they think is in their own best interest.,一貫してやろうとするのです
i actually thought it was the last time we'd have to fight someone.,あれが最後の戦いだって思ってたよ
say they have aboveaverage social skills.,社交性に優れていると思っています
and worked really hard yesterday to fix it.,昨日の問題を処理できました
you're the guy who won the lottery...,あなた 宝くじに当たった人ね
stop it! this is not what you promised!,よせ! 約束が違うじゃないか。
onbeat over a simultaneous surgery..,同時手術の上に オンビートなんて。
"ooh, an attack power of 3000!",おお 攻撃力3000!
we can work this out.,丸く収めよう
"save a seat for me in the dhampir section, you dork.",私の席取っといてよ バカ
in that greenhouse.,この温室に
"would you please tell us some more details? please, go ahead that way. please.",もう少し詳しくお話伺えますか? どうぞ どうぞあちらへ。 どうぞ。
"and chester carlson, the inventor",これを発明したチェスター・カールソン氏は
these people do not fuck around.,ばかなことはしてないんだ 私があなたに...
and each one of these stars represents a population,そしてこれらの星印一つ一つは
contingencies.,保険だ
i'm going over to mr. okiura's place.,私 沖浦さんの所へ行ってきます。
who was that?,遅かったな
are pushing the story in a particular way.,ある方向に押し進めているのです
are not ionizing radiation,X線や陽子ビームのような
battle!,えっ!? バトルだ!
shit! that sword...,キサマ その刀!
it's not you i'm angry with.,あなたに怒ったんじゃない
a frightful beam bringing disaster is approaching earth.,恐るべき災いの光が 地球へと迫りつつあった>
remember us he said to me.,我々を覚えていてほしい この言葉を私に言った
i'm out of here. hey!,私は抜ける
antinomy!,大丈夫か? アンチノミー!
and i think we',まず この質問から始めましょう:
"now, get out there!",さっさと行くの!
and then kill us anyway.,そしてオレたちも殺すさ
it is an auction number,オークション番号だよ。
"our guy wins, it's a coup.",我々なら クーデターだという・・・
what? that's a difficult question?,今のは難しい質問ですか?
human groups may look like hives for brief moments,人間の集団は僅かな瞬間に群れのように見えるかもしれませんが、
"that's an important fact, because it tells us",これは重要な事実です
rogue ninja's past,この 3年間...。
are you okay? you haven't drunk much though.,大丈夫? 相当 飲んでるけど。
"so, the needle... pierces the middle of the eye... pushing the dimmed lens to the back of the eyeball.",そして針を... 目の中央に突き通し... 灰色のレンズを眼球の 後ろの方に押す
it's a new experience.,初めての経験です
no way! it's that girl!! no way! she wants to meet me? on a date?,まさか... あれだけの数のスタンドを➡
we'll see crops as they grow in all the fields,毎日 世界中のあらゆる農場で
back door was point of exit. front door was deadbolted.,逃げたのは 裏のドアからです 表のドアは 錠が締まってる
"i'll be quick, just be like, yo, where are you?",どの辺りにいるか 確認したい
the initial death toll will shake world governments to their core.,最初の死者数は 中心部の世界政府を揺るがす
this intelligent dissection of the immune system.,免疫システムの知性あふれる分析を読んでいて
and having made your choice,プロバイダを 選んだら
my trees!,みんな燃えてしまう
"fuck him up, man!",やっちまえ!
i look like freakin' wolverine.,ウルヴァリンみたいだ
oh yeah? where is it?,そう、どこで?
and it's still happening.,まだ解決してないけど
he's a totally awesome guy.,本当にすごい人物です
did you find the place okay?,迷わなかった?
"all righ this is all very romantic,but let me be clear about this,okay?",とっても情熱的だけど、 ハッキリさせちゃっていいかい?
it's going to... it's going to take me a little while to come up with the money.,金が用意できたら 連絡する
it's burned badly.,ひどく燃えているので
the gardener was around stephanie's age.,庭師はステファニーと 年が近い
"ah, could you tell",あっ そうだ。 お父さんにさ
to not die. do whatever it takes to live.,バカ野郎! あきらめんな。 きっとまた再放送するさ!
very sexy.,とてもセクシーだ
so back to homer.,では再びホーマーさん
i'm not a big francophile.,フランスかぶれじゃ ないんだ
crescent,クレッセント...
shows the swelling of tissues and the lack of any type of circulation.,...この腫れは組織が 正常に循環していない
"what should i do, mona....?",どうしよう モナ...。
"uh, yeah.",見てこよう
i'm not saying they're all dead.,全員死んだとは言ってないわ
you don't get your hands dirty.,自分の手は汚すな
sinners!,罪人よ!
and why would you say that?,何で そんなこと言うんだ?
return to castle.,どういう事です?
"okay, this is really stupid.",そうよ 私 バカだったわ
your family is fine.,家族は大丈夫だ
obviously he's a narc or a snitch.,奴は 麻薬取締捜査官か 密告者だって ことさ
"oh, that.",春香ぁ~~
the association doesn't like loose ends.,連合は いい加減なケリのつけ方は 好きじゃない
it's really early for them to come out of hibernation.,冬眠から目覚めるの はやいですね 知らねえよ そんなこと
when they're designing buildings. here's a case in point.,設計しているようです こちらが良い例です
what's the matter with you?,何なんだ・・・
"no, you're fooling me. go away!",うそよ 帰って!
i didn't do anything.,本当に誤解だ 私は何もしなかった
i was with sam in the ocean... saving him from the waves.,サムと一緒に海に入ってたときのことだ 波にもまれてる彼を助けたんだ
these goddamn kids.,クソガキですよ
"that will not do, lord disward.",ロード·ディスワード
it's okay.,何時にここへ? - 5時よ
there's an elevator there. he went down six floors.,そっちにはエレベーターがあって...
we searched according to koyanagis testimony but,小柳の供述どおり 捜索したんですけど
your body isn't yours alone.,《芹菜一人の体じゃないんだから》
"no, i don't.",いや 何も
no more time...,♪ no more time... ♪
"it's murder, isn't it? kashiwagisan? kashiwagi kanaesan.",≪殺人だよ≫ 柏木さん?柏木香苗さん。
you are now the property of the orion syndicate!,お前は今からオリオン連合の所有物だ
"so for a while, i attempted to be known as sean holmes.",それで しばらくの間 ショーン・ホームズと 名乗るようにしてた
"you want to write it down, don't you?",メモしなきゃならんだろ?
warren.,ウォーレーーーン
we'll set a few rules and we'll stick to them.,いくつかルールを決めて それを守る と
don't you think this is perfect?,ちょうどいいと思わないか
come on. you don't have a choice.,落ち着いて こうするしか無いんだ
"now, all right? i'm on board.",俺も手伝うけど―
"all this money, and they're still unhappy.",やつらは満足してないだろう
chad bryson's freedom.,チャド・ブライソンの自由
lieutenant daniels?,ダニエルズ警部補?
jack... it was good to see you today.,ジャック・・・ 今日会えて良かった
"i believe in abignation, it's my right!",早く! 私は「無欲」のリーダーです! これは私の信条です!
and the plot to incriminate comrade mundt was set in motion.,そこで 同志ムントを 陥れる計画を練った
where there have been prohibitions against technology,テクノロジーがあったかを探して
in a causal sense.,因果的に
i don't get it.,訳 分かんない。
"and i, and silence, some strange race",私と沈黙はここでは
just so...,ただこう...
are what happens when a primordial mixture of hydrogen and helium,水素とヘリウムの原始混合物が
hang on to me.,つかまって
without dirtying their own hands,ホンボシは巧みに操り
let me know ifyou change your mind,気が変わったら言え
that i had heard the word teach ourselves said so casually.,「独学」なんて言われたのは 初めてでした
"and, as the years passed, my brother was always there for me.",(成長しても 兄はずっと 側にいてくれた)
i should be coming with you to boston.,デカいなぁ
i wonder if that's true...,いいか 俺は隠遁使いだって 言っただろうが。
i was watching you watching?,あなた達を監視していたのです 監視?
"understood, sir.",了解。
it's not like that,是 对 对不起
"i was, but i guess i came home.",謝りに来たのに 喧嘩して
it was zone.,それがゾーンだった。
they ruin us and when they are finished with us they toss us to the dogs like scraps.,女を食べ尽くし 一緒の時間が終わってしまえば 犬へ残飯をやるように放り出す
"now by 2010, as well",さらに 2010年までに
if you can't stay at the hospital,主任が おとなしく 病院にいられないんだったら
to come to perform here,ここでやるために
the truth is that we have already exhausted,実際には入手が容易な化石燃料の大半を
what is your target?,なん
this barbarian dropped the phone to you ...,"この""野蛮人""がその電話をお前たちに 落としてやったんだぞ..."
smaller pieces here. does everyone see that? which,それよりも小さなピースに入っています 分かる方は?
"on your feet, dr gideon, or we will restrain you.",立つんだ ギデオン博士 拘束するぞ
"i mean, it's probably best.",それがたぶん最善だと思う
we are afraid that crash may have caused the spread of an infectious virus... through this area.,ウイルスが広がった可能性が
franklin.,名は?
where did he hide?,どこに隠れた?
no trouble at all. it's served raw.,問題ありません 生でお召しあがり頂けます
"delfino's chicago, bornandbred.",デルフィーノは 生まれも育ちもシカゴで
they don't have yawn contagion.,あくびが 移らなかったりします
the note you left?,兄貴が書いたメッセージさ
"what's going on in that head of yours, tobey?",頭は大丈夫か、トビー?
"your honor, mr. haller is just muddying the waters with outrageous statements.",裁判長、ハラー氏は途方も無い話で 真相をぼやかしているだけです
this must be such a crystal disk.,クリスタルディスクっつうのは これかね?
after the flood,洪水で子供が死んだ後
it's already been a month.,もう 1カ月だ。 [tel]もう 1カ月だ。
uhm... what are you doing?,お 興味津々かい
i wonder who else heard that broadcast.,みんな懸賞金狙いだ
to fit these hearing aids.,このような補聴器の調整はできません
we had an argument a long time ago.,昔 ちょっと揉めてな。
i'm... grandpa fujita's granddaughter...,ドクの孫娘 大徳淳和がね
let's go.,もう やめにしようぜ。
"well, you heard that too.",う~ん...。
what do you mean?,それぐらい知らずに 聞いていると?
the police will make it safe?,警察を信じているの?
that's your play?,それがあんた達のやり方?
and weird. real techsavvy.,テクノロジーに精通してる
daniel barr had no prior arrests?,:FBI ダニエルに前科は? ない ボーイスカウトだ
: stay here.,ここに居て
"and just for the record, i never had jock itch.",一言 言おう 俺はジャケットなど着てないぞ
"trying to save the world, stop everyone from hurting themselves or committing suicide.",目殺志顧者を 説得しようってl丶う
"and here, the first thing you can see",まず あなたが見て取れるのは
camping by this boer graveyard for months at a time.,一回に何か月も滞在し ペルム紀絶滅を研究しました
everything.,すべてを...
but i'm scared.,ウエ~ン! お父さ~ん 怖いよ~!
it was such a hit,すごいヒット商品となった
"that seems odd, because you're very attractive, smart...",君は魅了的で 賢いのに それは変だ. .
there's a group right now in china called yeeyan.,中国に、Yeeyanというグループがあります。
the deal was to get you to the church.,約束は教会まで
what will you do now?,弧天斬盾! 私は拒絶する!!
"i'll see you downstairs in a minute, okay?",先に下に行ってて
he went to university in kochi city,あいつ 高知市の大学 行ったがやけど
it's not true,それはちがう
"well, that's how it is, isn't it?",いかないと まあ そうなりますよね
"i'm sorry, i need to ask.",申し訳ないが、聞きます
didn't you want a secure life?,安定した生活が 欲しかったんやろ?
dr. bishop.,ウォルター・ビショップ よろしく
someone is 30 meters away.,30m先から誰か来る。
"oh, you're not?",えッ? あれ 違うんですか?
i've got to tell you something.,伝えたいことが
that was quick.,はええよ
number five. and be distinctive.,原則5 特徴的であること
now there's a train wreck of a soul.,今なら魂の列車事故ね
all right. let's get to the weather.,分かったよ では 天気はと
shall we put it to a vote?,投票で決めましょうか?
"bressman's one of them, i guarantee it, 1000 percent.",ブレスマンは奴等の仲間だ 間違いない
"and we detonate, with minimal fallout risk to the city.",市民への影響を考え 最小限の物を使う
that's right! the card everyone hopes on...,そうだ みんなのつないだカード
"in 1997, this building opened.",1997年 この建物がオープンしました
your family's important too.,あなたの家族も重要よ
we looked at each other with these looks,こんな格好でお互いを見やって
grizzly heart.,"""グリズリーの心臓"""
what should i do today?,草薙先輩 今日 何してるのかな~?
"telling them that they'll get more out of life, and more out of harvard",スローダウンして 一つ一つのことを
"if you're in china, you might use a rice husk",例えば中国なら米のもみ殻や
"when you carry this axe, you carry all of us with you.",お前が斧を持つ時 我々はお前と共にある
give me a break.,勘弁しろ
so what do you think future john would do right now?,未来のジョンなら 今どうしてると思う?
do you like this guy? you jealous?,あの男が好きなの? - 妬いてるの?
looking for the bacteria that would convince corals to settle and attach.,サンゴに定着するよう促す バクテリアを探し出そうとしました
"come on, it's okay, reichan.",いいじゃないか レイちゃん
sometimes stepping back is part of the job.,時々戻ってステップ実行すると、ジョブの一部です。
listening to the world go on around you,世の中の推移を聞くのだ
that's bad!,それはまずい
the sea and the surface...,会不会和陆地上下温雪的事有关呢
their department head satou is hard to please,あそこの佐藤部長は 気難しいところがあるから
"that doesn't seem to fit with martyrdom, does it?",とても殉教者とは思えん
and the wait... it's like waiting for your death sentence...,そして 死刑執行を待つような この待ち時間。
rukia was looking for a single house.,ルキアは 1人 邸内を捜していた。
enough!,いいかげんにしろ!
now you you give me a chance to get up there and see him.,会わせてくれ
you should take them now.,すぐ飲んで
"well, obviously.",明らかだね
my mother developed the technology.,magiがその第1号らしいわ。 母さんが開発した、技術なのよ。
"hey, that's",それは言えてる
"okay, i'll, uh, throw in another couple billion, all right?",わかった もっと金をやる - 私はお金が好きです
i don't accept that person as a donor.,あんな人 ドナーだなんて 認めてないし。
"your book idea, michel would jump on it and pay good money.",あの企画はミシェルも気に入ってた
there's someone behind the door.,ドアの後ろに・・・
there are several scenarios for the future newspaper.,新聞の将来についていくつかのシナリオが考えられます
i'm doing a little shopping,ちょっと 買い物
"are you alright? yes, i'm sorry that's my habit.",大丈夫? ええ ちょっと癖がありまして。
mathematical models tell us exactly when and why this is possible.,数学的モデルは それが正確にどんなとき
i don't think that's why.,そんなんじゃないと思う。
that's okay.,それを 最近のヤツは➡
"she's already got 500,000 hits.",50万回も 再生されてる
carolyn givins.,キャロライン・ギビンス
is that true?,真是个奇怪的孩子
why head down the black pad,ブラック・パッド
"lovely to meet you... in the 30 seconds before you're discovered and killed. quick, hide.",見つかって殺される30秒前に 会えて良かったわ
have you heard? about the drowned man?,溺れた男のこと聞いた?
a modified boudin noir from ali bab's gastronomie practique.,フランス料理に 手を加えた物だ
then why are you here?,ならなぜここに?
going to do with the space during the day,2時半前にも使うとしたら
"a good actress, a name is something",あのね 名前なんてものはね いい女優さんになったら
it'll be safe here.,盗まれねえよ
"she's hurting, man. she's with me, owen.",お前には関係ない、オーウェン
but if i don't do that,でも、私がそれをしなければ...
that something's happening there.,皆が感じているからだと思います
and i do mean sweat.,釣りで 汗をかくか
uh. today i'm pretty busy.,「え? 本日は 大変お忙しいなか」
"even now it's a miracle that you're unconscious, but we are able to communicate.",[tv]今だって こうして ホントなら 意識のない お前と
i'm afraid we're about to lose another kennedy.,ケネディの二の前に ならんといいが
i think you're having a heart attack.,心臓発作なのか
no! absolutely not!,嗯 绝对完美安全
"it's so good to see you, man.",君に会うのは楽しい
"you know, it leaves me no choice but to do things that hurt you.",何しても 君を傷つけてしまう
is still the number one threat.,最大の脅威である ということを 理解していません
and what's exciting is that with this openness,さらに素晴らしいことに この公開によって
"i know, i know. i understand.",わかってるよ
that we spotted down on glass.,ヒトゲノムの特定の断片なんです
"you know, before the dust clears",爆煙が収まるよりも早く
what would economies look like,もし我々が
"matsui yokosan, a woman who lives near the victim",被害者の近所に住む 松井洋子さんという女性が
had a what?,何?
we engineered a virus to pick up carbon nanotubes.,ウイルスを改良して 一部分でカーボンナノチューブを
just like that moon.,あの月のように
"well, the text was definitive, but we haven't found a body yet.",難しいけど 遺体が見つかってない
they understand what he is.,氷なし - 分かりました
it felt like i was back in that hallway.,あの廊下に もどった感じ...
the clay is cracking.,土にヒビがあるから
his child became the victim in a crime.,≪n子供が事件の被害者になり➡
and last but not least,そして最後になりましたが
are you police?,警察なの?
what does he know?,彼にする事を 理解しているのか?
do you still hate me that much?,まだそんなに私のことを恨んでるんですか
"she was surprised however she said, i understand. leave it up to me to tell dad and mom.",おねえちゃんから話しておくから 任せておきな」って。
i met your first girlfriend.,あなたの元カノに会ったわ
and i'm interested in the impact of their absence and presence through time.,これら絵画の不在と存在が与える影響にも関心があります
"however, the bomb was also meant to conceal the murder of just one man.",しかし その裏ではある男が 暗殺されていたのだ
"sorry, sir.",申し訳ございません
what? yes git out the guitar,えッ? はい ギター出して
these are the candidates for the cooking competition.,料理コンクールの 栄えある優勝候補者達や。
i ever tell you how i found this place?,この場所を見つけた いきさつを教えたっけ?
it's not the first time the f.b.i. have gotten it wrong.,FBIがまたヘマをと
"kai, jun, frau bow, and subaru.",フラウ坊もジュンも聞いて
and thank you for coming alone.,一人で来てくれて感謝する
my back hurts...,《背中が痛え...》
but there won't be any job in such a rural area.,つうか 田舎じゃ仕事なんてねえか。
better lock your door,鍵をかけるべき。
i don't crack up. pick a place like this where any cop could see you.,「おもしろくないよ」 「だったら、もっと、...」
so we don't get stuck with bad rules,私達は悪いルールの罠に陥ることなく
the night shift time cards,夜勤のタイムカードを
well desperately.,まあ 必死に。
"konachan, you're amazing! you can sing anything!",何でも歌えるんだね
i have no idea what you just said.,全然わからない
and after watching that,ビデオを見た後 研究室に
just get your ass back here now.,いいから戻って 話させて...
then could you speak about the cause of his death?,ご主人の死因を話してもらえますか?
never trust a man with a small prick.,小さいペニスの男を決して信用するな
